GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA21_386: Average age,v_CA21_452: Average household size,v_CA21_560: Median total income in 2020 among recipients ($),v_CA21_4311: Median value of dwellings ($) (60)
35061094,DA,35061094,0.1954,663,267,263,43.1,2.5,66000,750000
35061097,DA,35061097,0.4521,412,157,154,48.7,2.6,60400,800000
35061098,DA,35061098,0.1054,880,393,376,34.6,2.3,40400,850000
35061100,DA,35061100,0.1407,463,163,160,41.8,2.8,52800,700000
35061101,DA,35061101,0.1572,366,154,149,45.7,2.5,55600,755000
35061102,DA,35061102,0.1349,455,174,169,44.4,2.7,43200,576000
35061103,DA,35061103,0.1258,351,136,134,43.2,2.6,75500,830000
35061104,DA,35061104,0.2398,1367,551,493,30.6,2.8,29600,
35061105,DA,35061105,0.1658,783,352,337,43.6,2.3,38400,400000
35061106,DA,35061106,0.1743,517,214,211,48.5,2.5,62400,650000
35061107,DA,35061107,0.0544,525,148,145,32.4,3.6,36800,500000
35061108,DA,35061108,0.0444,566,130,129,28.5,4.4,31000,
35061113,DA,35061113,59.8091,814,313,305,45.4,2.7,48800,650000
35061114,DA,35061114,1.4864,452,175,173,44.1,2.6,57600,750000
35061115,DA,35061115,7.9864,467,179,172,43.1,2.7,52000,650000
35061116,DA,35061116,0.7944,294,110,107,45.4,2.7,61200,750000
35061117,DA,35061117,3.8721,612,210,207,40.8,3,64000,900000
35061118,DA,35061118,18.3834,551,200,195,42.7,2.8,51600,650000
35061119,DA,35061119,9.1561,975,330,319,39.2,3,66000,600000
35061120,DA,35061120,4.0126,303,152,148,48.4,2,49600,290000
35061121,DA,35061121,14.9601,301,123,119,47.0,2.3,47600,416000
35061122,DA,35061122,35.2168,637,233,228,41.9,2.8,50400,600000
35061123,DA,35061123,24.6414,653,238,230,44.6,2.7,48800,448000
35061124,DA,35061124,37.7333,861,346,336,43.4,2.5,50400,600000
35061125,DA,35061125,15.239,333,149,141,47.9,2.4,54000,800000
35061126,DA,35061126,7.1147,413,151,147,43.7,2.8,52800,552000
35061127,DA,35061127,6.1401,875,310,303,39.6,2.9,58800,650000
35061128,DA,35061128,2.3023,477,162,161,39.6,3,52800,600000
35061129,DA,35061129,8.4855,397,159,159,44.4,2.5,50000,500000
35061130,DA,35061130,4.1723,644,228,222,38.3,2.9,55600,600000
35061131,DA,35061131,52.2424,799,293,284,41.4,2.8,54400,548000
